Year	GDP ($M)	Unemployment Rate (%)	Inflation Rate (%)	Economic growth (%)	Q on Q Economic Growth (%)	Income and Wealth Distribution (Gini coefficient)	Net Exports (PM)	Govt Expenditure (% of GDP)	Tax Revenue (% of GDP)	Interest Rate (%)	Money supply ($M)	Rate of crawl (%)
2000	5790	15.88	9.0	1.99	-3.4	0.65	766	38.8	24.5	13.75	1000	-0.3
2000	5790	15.88	8.0	1.99	2.5	0.65	870	38.8	24.5	14.25	1000	-0.3
2000	5790	15.88	8.5	1.99	1.6	0.65	940	38.8	24.5	14.25	1000	-0.3
2000	5790	15.88	7.3	1.99	4.8	0.65	3482	38.8	24.5	14.25	1000	-0.3
2001	5490	18.54	7.0	0.25	4.1	0.65	900	42.1	24.5	14.25	1500	-1.2
2001	5490	18.54	6.1	0.25	3.2	0.65	1023	42.1	24.5	14.25	1550	-1.2
2001	5490	18.54	5.8	0.25	1.4	0.65	1105	42.1	24.5	14.25	1600	-1.2
2001	5490	18.54	6.1	0.25	-6.7	0.65	4094	42.1	24.5	14.25	1550	-1.2
2002	5440	21.27	5.9	6.07	1.4	0.65	176	45.1	25.0	14.25	1500	-2.1
2002	5440	21.27	10.1	6.07	2.1	0.65	200	45.1	25.0	15.25	1650	-2.1
2002	5440	21.27	10.6	6.07	1.2	0.65	216	45.1	25.0	15.25	1800	-2.1
2002	5440	21.27	10.7	6.07	18.2	0.65	800	45.1	25.0	15.25	1900	-2.1
2003	7510	23.80	12.2	4.63	5.8	0.64	395	42.7	25.5	14.75	2000	-3.0
2003	7510	23.80	7.2	4.63	10.0	0.64	448	42.7	25.5	14.25	2200	-3.0
2003	7510	23.80	6.4	4.63	5.9	0.64	485	42.7	25.5	14.25	2200	-3.0
2003	7510	23.80	7.0	4.63	-0.8	0.64	1791	42.7	25.5	14.25	2900	-3.0
2004	8960	21.75	6.7	2.71	3.3	0.64	155	39.8	26.0	14.25	2700	-3.9
2004	8960	21.75	7.2	2.71	-5.5	0.64	176	39.8	26.0	14.25	2700	-3.9
2004	8960	21.75	7.9	2.71	6.7	0.64	191	39.8	26.0	14.25	2850	-3.9
2004	8960	21.75	6.5	2.71	6.5	0.64	703	39.8	26.0	14.25	3000	-3.9
2005	9920	19.85	7.1	4.56	5.5	0.63	566	33.8	27.0	14.0	3100	-4.8
2005	9920	19.85	10.0	4.56	5.4	0.63	3060	33.8	27.0	14.25	3400	-4.8
2005	9920	19.85	11.3	4.56	3.3	0.63	421	33.8	27.0	14.5	2600	-4.8
2005	9920	19.85	13.8	4.56	4.2	0.63	2560	33.8	27.0	15.0	2900	-4.8
2006	9920	17.78	12.5	8.36	12.2	0.63	950	33.1	27.5	15.0	2800	-3.9
2006	9920	17.78	10.5	8.36	10.4	0.63	1680	33.1	27.5	15.0	3500	-3.9
2006	9920	17.78	8.5	8.36	8.2	0.63	3290	33.1	27.5	15.0	4000	-3.9
2006	9920	17.78	6.5	8.36	3.3	0.63	4100	33.1	27.5	15.0	4000	-3.9
2007	10570	16.99	6.5	5.79	2.9	0.62	1000	37.1	26.6	14.5	4000	-2.3
2007	10570	16.99	6.8	5.79	8.9	0.62	2460	37.1	26.6	14.5	4500	-2.3
2007	10570	16.99	8.2	5.79	8.0	0.62	-854	37.1	26.6	14.5	4800	-2.3
2007	10570	16.99	9.9	5.79	3.4	0.62	1540	37.1	26.6	14.5	5100	-2.3
2008	10730	16.32	14.4	3.25	6.7	0.61	-531	48.1	27.9	15.5	5100	-2.3
2008	10730	16.32	14.0	3.25	2.7	0.61	969	48.1	27.9	15.5	5600	-2.3
2008	10730	16.32	13.7	3.25	4.1	0.61	-5000	48.1	27.9	15.0	5800	-2.3
2008	10730	16.32	11.7	3.25	-0.3	0.61	-1240	48.1	27.9	13.5	5000	-2.3
2009	10120	16.17	7.1	-14.14	-30.8	0.60	-704	52.1	27.7	11.5	4800	-2.9
2009	10120	16.17	7.0	-14.14	-15.6	0.60	-222	52.1	27.7	11.0	5500	-2.9
2009	10120	16.17	5.8	-14.14	-14.0	0.60	-681	52.1	27.7	10.5	5800	-2.9
2009	10120	16.17	5.9	-14.14	3.8	0.60	-703	52.1	27.7	10.0	5900	-2.9
2010	12640	17.86	7.7	10.12	31.6	0.58	243	42.6	23.9	10.0	5800	-2.6
2010	12640	17.86	7.0	10.12	14.5	0.58	-637	42.6	23.9	10.0	5900	-2.6
2010	12640	17.86	7.4	10.12	6.7	0.58	-1240	42.6	23.9	9.5	6200	-2.6
2010	12640	17.86	8.5	10.12	-4.6	0.58	-469	42.6	23.9	9.5	6500	-2.6
2011	15110	18.06	7.9	6.84	13.5	0.57	744	37.2	24.0	9.5	6400	-2.6
2011	15110	18.06	8.6	6.84	4.2	0.57	-1480	37.2	24.0	9.5	6600	-2.6
2011	15110	18.06	9.2	6.84	7.8	0.57	-947	37.2	24.0	9.5	6600	-2.6
2011	15110	18.06	8.1	6.84	2.3	0.57	-1630	37.2	24.0	9.5	6000	-2.6
2012	13910	17.95	7.3	-0.17	2.0	0.56	-474	37.1	28.0	9.5	6300	-0.16
2012	13910	17.95	7.1	-0.17	1.3	0.56	1370	37.1	28.0	9.5	6300	-0.16
2012	13910	17.95	7.4	-0.17	-7.7	0.56	-2250	37.1	28.0	9.5	6400	-0.16
2012	13910	17.95	7.5	-0.17	4.2	0.56	882	37.1	28.0	9.5	6300	-0.16
2013	14270	18.20	5.8	11.10	5.5	0.55	-2880	33.5	26.7	9.0	6000	-0.16
2013	14270	18.20	5.0	11.10	13.9	0.55	225	33.5	26.7	8.0	6000	-0.16
2013	14270	18.20	4.1	11.10	12.0	0.55	2600	33.5	26.7	7.5	6000	-0.16
2013	14270	18.20	4.4	11.10	13.2	0.55	-1710	33.5	26.7	7.5	6000	-0.16
2014	15470	18.52	4.6	5.69	4.9	0.54	2300	36.5	27.1	7.5	6000	-0.16
2014	15470	18.52	4.5	5.69	5.2	0.54	-2670	36.5	27.1	7.5	6500	-0.16
2014	15470	18.52	3.7	5.69	10.9	0.54	1170	36.5	27.1	7.5	7000	-0.16
2014	15470	18.52	2.8	5.69	2.0	0.54	1290	36.5	27.1	6.5	6400	-0.16
2015	13530	18.94	3.1	-4.85	0.7	0.53	-180	37.8	26.3	6.5	6000	0.0
2015	13530	18.94	2.9	-4.85	-3.6	0.53	-2220	37.8	26.3	6.0	6700	0.0
2015	13530	18.94	3.1	-4.85	-10.2	0.53	-1110	37.8	26.3	6.0	6500	0.0
2015	13530	18.94	3.0	-4.85	-6.0	0.53	-665	37.8	26.3	6.0	6300	0.0
2016	15080	19.34	2.7	7.20	3.6	0.53	2620	34.1	21.6	6.0	5900	0.38
2016	15080	19.34	2.8	7.20	4.5	0.53	3140	34.1	21.6	5.5	6300	0.38
2016	15080	19.34	3.0	7.20	9.9	0.53	-464	34.1	21.6	5.5	6300	0.38
2016	15080	19.34	3.5	7.20	11.1	0.53	-1070	34.1	21.6	5.5	6800	0.38
